provider,case,condition,language,utterance,expected,first_turn_predicted,final_predicted,turns_to_confirmation,error,final_tp,final_fp,final_fn,final_precision,final_recall,final_f1,final_exact_match,first_turn_tp,first_turn_fp,first_turn_fn,first_turn_precision,first_turn_recall,first_turn_f1,first_turn_exact_match
lexicon_only,blind_persona,scripted_persona,en,I am blind and I use a screen reader.,"[""blind_or_low_vision""]","[""blind_or_low_vision""]","[""blind_or_low_vision""]",1,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
lexicon_only,deaf_sign_persona,scripted_persona,en,I am deaf and I use sign language.,"[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]",1,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
lexicon_only,wheelchair_persona,scripted_persona,en,I use a wheelchair and need step free routes.,"[""needs_step_free_route"", ""wheelchair_user""]","[""needs_step_free_route"", ""wheelchair_user""]","[""needs_step_free_route"", ""wheelchair_user""]",1,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
lexicon_only,memory_child_persona,scripted_persona,en,Please use simple english and short steps.,"[""needs_memory_support"", ""needs_simple_language""]","[""needs_simple_language""]","[""needs_memory_support"", ""needs_simple_language""]",2,,2,0,0,1.0,1.0,1.0,True,1,0,1,1.0,0.5,0.667,False
lexicon_only,mixed_needs_persona,scripted_persona,en,I am hard of hearing and also use a wheelchair.,"[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",4,,5,0,0,1.0,1.0,1.0,True,3,0,2,1.0,0.6,0.75,False
lexicon_only,free_form_multi_needs_persona,scripted_persona,en,"yes I have eye problem, also I walk badly, and I can't read complex text","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]",3,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
lexicon_only,colloquial_vision_landmarks,colloquial,en,"My eyesight is bad, so I rely on landmarks and spoken directions.","[""blind_or_low_vision""]","[""blind_or_low_vision""]","[""blind_or_low_vision""]",1,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
lexicon_only,colloquial_steps_lifts,colloquial,en,I cannot cope with steps; ramps or lifts are safer for me.,"[""needs_step_free_route""]","[""needs_step_free_route""]","[""needs_step_free_route""]",2,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
lexicon_only,colloquial_audio_announcements,colloquial,en,I read lips and often miss announcements in noisy stations.,"[""deaf_or_hard_of_hearing""]","[""deaf_or_hard_of_hearing""]","[""deaf_or_hard_of_hearing""]",2,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
lexicon_only,colloquial_signing_preference,colloquial,en,I prefer signing to written instructions when that is available.,"[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]",1,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
